,bench mark,,,,,moving average,,,,,moving average with short sell,,,,,moving average with support price,,,,,moving average support volatility,,,,,moving average double support volatility,,,,,,Comparison of Return,,,,Comparison of Max Draw Down,,,,Comparison of Sharpe Ratio,,
ticker,bench mark return,bench mark volatility,bench mark draw_down,bench mark max_draw_down,bench mark sharpe,moving average return,moving average volatility,moving average draw_down,moving average max_draw_down,moving average sharpe,moving average with short sell return,moving average with short sell volatility,moving average with short sell draw_down,moving average with short sell max_draw_down,moving average with short sell sharpe,moving average with support price return,moving average with support price volatility,moving average with support price draw_down,moving average with support price max_draw_down,moving average with support price sharpe,moving average support volatility return,moving average support volatility volatility,moving average support volatility draw_down,moving average support volatility max_draw_down,moving average support volatility sharpe,moving average double support volatility return,moving average double support volatility volatility,moving average double support volatility draw_down,moving average double support volatility max_draw_down,moving average double support volatility sharpe,,Support Signal diff,Volatility Signal diff,Double Vol Signal Diff,,Support Signal diff,Volatility Signal diff,Double Vol Signal Diff,,Support Signal diff,Volatility Signal diff,Double Vol Signal Diff
PCLN,7.4666666667,0.431672108,-0.3170731707,-0.6629672061,0.5514336035,6.2520674982,0.3151266753,-0.1653333333,-0.4304707998,0.6950305331,1.5876850263,0.4354903216,-0.2181313007,-0.6906055453,0.2289397124,3.457004388,0.3450211186,-0.5422347683,-0.6957118933,0.4669955862,0,0,0,0,0,0,0,0,0,0,,-2.7950631102,-3.457004388,0,,-0.2652410935,0.6957118933,0,,-0.2280349469,-0.4669955862,0
PHM,-0.2224797602,0.4626239371,-0.5240291037,-0.847542811,-0.0536953631,-0.1292936242,0.2953537066,-0.2453562757,-0.6358743569,-0.0465346639,-0.7444676054,0.4697011214,-0.7573057987,-0.866990611,-0.2714370084,-0.2191749286,0.2671222835,-0.311472629,-0.7471132631,-0.0914458612,0,0,0,0,0,0,0,0,0,0,,-0.0898813044,0.2191749286,0,,-0.1112389062,0.7471132631,0,,-0.0449111973,0.0914458612,0
PVH,3.0232552902,0.3417507075,-0.0624161074,-0.777899289,0.4368695377,1.3029693605,0.226572457,-0.0620637561,-0.4617037829,0.3838150629,-0.1773873753,0.3435735726,-0.353760969,-0.6222216908,-0.0562613534,3.4440557465,0.2290352543,-0.0624161074,-0.379834229,0.7020128831,0,0,0,0,0,0,0,0,0,0,,2.141086386,-3.4440557465,0,,0.0818695539,0.379834229,0,,0.3181978202,-0.7020128831,0
ROST,1.5308906355,0.2750281332,-0.0306694275,-0.4650205761,0.353651853,0.0844433923,0.1918618248,-0.305038114,-0.4555767829,0.0424074236,-0.6562128635,0.2772897042,-0.7030497595,-0.7608632321,-0.3650773949,0.6334486847,0.1938195033,-0.1676743324,-0.4451554745,0.2593783528,-0.0876222854,0.0420600939,-0.101755503,-0.1198085797,-0.2169412877,-0.2599775626,0.0891659641,-0.271440905,-0.271440905,-0.3324932417,,0.5490052924,-0.7210709701,-0.1723552772,,0.0104213084,0.3253468948,-0.1516323253,,0.2169709292,-0.4763196405,-0.115551954
RCL,0.3218840524,0.4371478106,-0.7647131946,-0.894941077,0.0647088767,2.8966262674,0.2792449654,-0.0527081956,-0.5096321678,0.5215217395,2.9651668012,0.4452284814,-0.4106601259,-0.6723545008,0.3315845355,0.9035553449,0.2299819203,-0.1430920761,-0.5917728904,0.2889877986,-0.1934545283,0.0642475707,-0.1934545283,-0.2968860197,-0.3309326642,-0.2327387335,0.1450909312,-0.3118436185,-0.4000928784,-0.1801257917,,-1.9930709225,-1.0970098732,-0.0392842052,,-0.0821407226,0.2948868707,-0.1032068587,,-0.2325339409,-0.6199204628,0.1508068725
SNI,0.1088740251,0.2002493149,-0.5608341215,-0.5659407015,0.0518549654,0.4965976288,0.1026528708,-0.1936435275,-0.2327395989,0.4006366996,0.6084277407,0.2043038995,-0.0424568723,-0.423568038,0.2381415108,0.581621479,0.0815770864,-0.0980391938,-0.1642501623,0.5748304905,0.1201644101,0.029818462,-0.0026595745,-0.0516240052,0.3825678731,0.1201644101,0.029818462,-0.0026595745,-0.0516240052,0.3825678731,,0.0850238502,-0.4614570689,0,,0.0684894366,0.1126261571,0,,0.1741937909,-0.1922626174,0
SIG,0.3398242509,0.3748881349,-0.7498664522,-0.8610141899,0.0791540064,0.4170744934,0.2472810586,-0.469485012,-0.605029727,0.1433985016,-0.3431713846,0.3788162059,-0.6273937041,-0.692923364,-0.1086171937,0.6720025369,0.2193405388,-0.2726840474,-0.5430051926,0.2403777697,0.0641039351,0.0975778709,-0.0735231126,-0.2102659282,0.0638479782,0.0092542185,0.1330173746,-0.1394002675,-0.3240993114,0.006925575,,0.2549280435,-0.6078986018,-0.0548497166,,0.0620245344,0.3327392644,-0.1138333832,,0.0969792681,-0.1765297915,-0.0569224032
SNA,0.9230092535,0.268338166,-0.1593468764,-0.6578448199,0.2517213855,-0.1439653095,0.1828691239,-0.4091388807,-0.4880798355,-0.0843123583,-0.7412942979,0.271985674,-0.8217297267,-0.8399689129,-0.4647935693,0.2488611261,0.1811300629,-0.1269580155,-0.3942831446,0.1240152672,0.2009535306,0.1358484819,-0.1180020519,-0.2007563397,0.1359810054,0.8038144195,0.1483810947,-0.0736735384,-0.1929124893,0.4093512688,,0.3928264356,-0.0479075955,0.6028608889,,0.0937966909,0.1935268049,0.0078438504,,0.2083276255,0.0119657382,0.2733702634
SWK,1.450503099,0.2676856022,-0.1025119663,-0.6242990492,0.3501480425,-0.1156042224,0.1805105543,-0.397089196,-0.5178752165,-0.06761408,-0.7969762422,0.2699799572,-0.8177691786,-0.8399026024,-0.5456970674,0.2920108706,0.164464705,-0.2052072368,-0.4863725877,0.1577267582,-0.2232161509,0.1223298236,-0.2232161509,-0.3484345938,-0.2038188194,0.3298353642,0.1680924087,-0.0521694215,-0.3354014393,0.1719527858,,0.407615093,-0.5152270215,0.5530515151,,0.0315026288,0.1379379939,0.0130331545,,0.2253408382,-0.3615455776,0.3757716052
SPLS,0.7796382815,0.2899437422,-0.0387518873,-0.4910421955,0.2045577026,-0.6349930916,0.1893938396,-0.6394665719,-0.6973730873,-0.5060099701,-0.9582332315,0.2942053474,-0.9607493782,-0.962164089,-0.9244852784,0.1085389446,0.1925233963,-0.1330457037,-0.4076807387,0.053777347,-0.1749179037,0.091689814,-0.2015189292,-0.219250085,-0.2076133877,-0.0350063328,0.1428357994,-0.1661317763,-0.27470285,-0.0248930102,,0.7435320362,-0.2834568483,0.1399115709,,0.2896923486,0.1884306537,-0.055452765,,0.5597873171,-0.2613907347,0.1827203775
SBUX,0.9826979843,0.2952344223,-0.4659217877,-0.8190764572,0.2398546035,1.2976631461,0.198911845,-0.0268156425,-0.5204882886,0.4359283775,0.573446441,0.296398017,-0.0747365803,-0.704545154,0.156380384,4.1566814154,0.1860402275,-0.0271880819,-0.2391334321,0.9577046533,0.6385484798,0.111856387,-0.0092786591,-0.24296771,0.452364859,0.0882969171,0.1694698159,-0.0092786591,-0.5430229624,0.05012036,,2.8590182693,-3.5181329356,-0.5502515627,,0.2813548565,-0.0038342779,-0.3000552524,,0.5217762758,-0.5053397943,-0.402244499
TGT,0.5365914915,0.2830833364,-0.30360339,-0.6294948191,0.1549887302,-0.0651935647,0.1799482176,-0.3950741562,-0.4683452347,-0.0373231166,-0.6398513226,0.2848701084,-0.720392404,-0.7275527398,-0.340665428,0.3166481708,0.1686517607,-0.1323087304,-0.2948491206,0.1653079828,-0.020396463,0.1089932453,-0.2102355377,-0.2957878736,-0.0188799791,0.487898579,0.1411741493,-0.0867600542,-0.2394298876,0.2870213937,,0.3818417355,-0.3370446338,0.508295042,,0.1734961141,-0.000938753,0.056357986,,0.2026310994,-0.1841879619,0.3059013728
TGNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
TIF,0.4337978225,0.3427794523,-0.4736640598,-0.6952093557,0.1069923622,0.0515743085,0.2156964559,-0.3527189571,-0.4615242894,0.0233637739,-0.6484000678,0.3457839453,-0.7238946396,-0.7328240036,-0.2869164253,0.1303344957,0.1873603532,-0.305313367,-0.5434589058,0.0657650162,-0.0355470649,0.0840880646,-0.0355470649,-0.3094428087,-0.0429483107,0.5714392671,0.1381292655,-0.0273002506,-0.3035380136,0.3345948017,,0.0787601872,-0.1658815606,0.606986332,,-0.0819346164,0.2340160971,0.0059047951,,0.0424012423,-0.1087133269,0.3775431124
TWX,-0.0944454771,0.2691775789,-0.5134448101,-0.6692974844,-0.0366590818,0.331608913,0.1739831943,-0.0687347932,-0.3941352978,0.1669186602,0.3054892544,0.2715296104,-0.1126654073,-0.5566707763,0.0994563294,-0.0494501353,0.1276636215,-0.2714189149,-0.3718996833,-0.039608856,-0.1549080657,0.0751838592,-0.261536804,-0.315116899,-0.2219029325,-0.1207466699,0.1402978168,-0.1296657972,-0.3767855498,-0.0910969342,,-0.3810590483,-0.1054579304,0.0341613958,,0.0222356145,0.0567827843,-0.0616686508,,-0.2065275162,-0.1822940765,0.1308059983
TJX,1.5651475116,0.2461838274,-0.0190735695,-0.5011242137,0.4010817931,0.6441120331,0.1730231793,-0.1963929203,-0.404277251,0.2945035166,-0.2491479246,0.246517073,-0.6277485488,-0.6466547125,-0.11454329,0.7406510454,0.1840726336,-0.0456448203,-0.2936370963,0.309482663,-0.0908996879,0.1103775435,-0.1640810375,-0.2105199877,-0.0858955783,0.2204463719,0.1462032512,-0.1814386619,-0.2269133203,0.137570826,,0.0965390123,-0.8315507333,0.3113460598,,0.1106401547,0.0831171086,-0.0163933326,,0.0149791464,-0.3953782413,0.2234664043
TSCO,1.694698222,0.3185060346,-0.0257721818,-0.585795285,0.3270410593,-0.5427659828,0.2187116297,-0.6768642026,-0.7855707807,-0.3440301467,-0.9522532383,0.3253113654,-0.9623141665,-0.9724974956,-0.805952332,-0.0206190594,0.2162176188,-0.4595838861,-0.6795305703,-0.0096220642,0,0,0,0,0,0,0,0,0,0,,0.5221469234,0.0206190594,0,,0.1060402104,0.6795305703,0,,0.3344080825,0.0096220642,0
TRIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
FOXA,0.1535471331,0.3118639695,-0.5918367347,-0.7866937532,0.0461126643,-0.1229792213,0.1882800833,-0.3635774301,-0.495557841,-0.0692136766,-0.6484339738,0.3160203264,-0.6650333453,-0.7187837111,-0.3139664406,0.4385536785,0.16163147,-0.0258395311,-0.31554522,0.2290271514,-0.1199798759,0.1020992237,-0.2633383888,-0.3690817108,-0.1243366369,-0.0208500401,0.1522704578,-0.0850040096,-0.4205180295,-0.0138174418,,0.5615328998,-0.5585335544,0.0991298358,,0.180012621,-0.0535364908,-0.0514363187,,0.298240828,-0.3533637883,0.1105191951
FOX,0.0806312712,0.2879687412,-0.6304703361,-0.7725954057,0.0270222304,-0.1192671812,0.1728577873,-0.4761741005,-0.5293509825,-0.0729777772,-0.5793699785,0.2909406783,-0.6484709445,-0.6769083808,-0.2850222142,0.9489995153,0.1506759476,-0.0989503032,-0.2921696503,0.4578037462,-0.0192776952,0.0922541413,-0.2394574653,-0.2893512132,-0.0210713913,-0.2622373376,0.151197415,-0.2921466348,-0.4904031712,-0.198043613,,1.0682666965,-0.9682772105,-0.2429596424,,0.2371813322,0.0028184371,-0.201051958,,0.5307815234,-0.4788751375,-0.1769722217
ULTA,-0.2038900067,0.3892082532,-0.8561368209,-0.8789161727,-0.0578992969,1.4830268166,0.2286343422,-0.1086398883,-0.3084121814,0.4162631045,2.1901652507,0.3833390234,-0.1691662644,-0.5233151425,0.3207394559,1.3382815949,0.1838113151,-0.1765781747,-0.2185894923,0.4821060475,0,0,0,0,0,0,0,0,0,0,,-0.1447452217,-1.3382815949,0,,0.0898226891,0.2185894923,0,,0.065842943,-0.4821060475,0
UA,0.2968379447,0.4107656643,-0.5126482213,-0.8162444113,0.0640827414,-0.2830697779,0.2709260567,-0.5248025672,-0.6656008136,-0.1207606077,-0.8483751531,0.4139136385,-0.886804196,-0.9023989628,-0.4151795991,0.0045776619,0.2015774474,-0.2847618346,-0.5259530577,0.0022653489,0,0,0,0,0,0,0,0,0,0,,0.2876474398,-0.0045776619,0,,0.1396477559,0.5259530577,0,,0.1230259566,-0.0022653489,0
UAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
VFC,1.3323831243,0.245770427,0,-0.5830632514,0.3594481833,0.6872392554,0.163447388,-0.0210267613,-0.2792316553,0.3284214529,-0.1511290607,0.2475640272,-0.340541896,-0.5391888387,-0.0656188475,1.047231723,0.1602128891,-0.0210267613,-0.385621249,0.4634288172,0.6028111207,0.1172998848,-0.0039840637,-0.2752581483,0.4116510446,0.8330548197,0.1456854576,-0.0039840637,-0.3330893884,0.4286384135,,0.3599924676,-0.4444206023,0.230243699,,-0.1063895937,0.1103631007,-0.0578312401,,0.1350073643,-0.0517777726,0.0169873689
VIAB,-0.213317757,0.2673336274,-0.7205607477,-0.7337488869,-0.0886464427,-0.2702121965,0.1579276281,-0.5197008779,-0.5273264277,-0.1962733281,-0.4711081036,0.2729766568,-0.5618417841,-0.5894156829,-0.2259788806,0.3418340251,0.1272964472,-0.2332377,-0.3096678669,0.2343206476,-0.1054786498,0.0653394706,-0.1216901837,-0.2092393054,-0.1695812576,-0.3524183007,0.1168934433,-0.3610457516,-0.4559216385,-0.363612576,,0.6120462216,-0.4473126749,-0.2469396509,,0.2176585608,0.1004285615,-0.2466823331,,0.4305939757,-0.4039019052,-0.1940313184
DIS,0.7850855931,0.2472608165,-0.1919632007,-0.5561312738,0.2411781076,0.5298095782,0.1573062895,-0.0943990006,-0.3021634434,0.275979228,-0.1761206719,0.2507537597,-0.5026353892,-0.5463739234,-0.0764856734,0.7555295145,0.1575960102,-0.0703894885,-0.3201740893,0.3671852516,-0.0437176013,0.1241071541,-0.1526370111,-0.2506777311,-0.0359241617,-0.0138402828,0.1606214533,-0.1583400483,-0.3612930795,-0.0086673854,,0.2257199363,-0.7992471158,0.0298773185,,-0.0180106459,0.0694963582,-0.1106153484,,0.0912060236,-0.4031094133,0.0272567763
WHR,0.9246413651,0.3390244629,-0.6599590025,-0.8246396708,0.1995047472,1.438043241,0.2449102251,-0.1980257704,-0.344528801,0.3804349809,1.4840288268,0.340436497,-0.5751555021,-0.6720592772,0.2796886092,0.6175841438,0.2096207266,-0.3614986019,-0.5409478041,0.2349407518,-0.2694679505,0.1061840587,-0.3530522266,-0.407738792,-0.2909876148,0.2536897778,0.1634983759,-0.2275041906,-0.2928033451,0.1398018702,,-0.8204590972,-0.8870520943,0.5231577283,,-0.1964190031,0.1332090121,0.1149354469,,-0.1454942291,-0.5259283666,0.430789485
WYN,-0.2005116595,0.4486289215,-0.9075197009,-0.9223155926,-0.0493081135,1.8172359178,0.2723302276,-0.3615049449,-0.4318377706,0.4005568352,1.6312789537,0.4454935085,-0.4140841499,-0.6207314429,0.227924822,1.4189055415,0.1873383571,-0.1593778425,-0.2004420936,0.492753422,-0.0863328823,0.0392826185,-0.0863328823,-0.1274231067,-0.2287190195,-0.1312090261,0.0722990807,-0.2325589401,-0.2670729604,-0.1931044301,,-0.3983303763,-1.5052384238,-0.0448761438,,0.231395677,0.0730189869,-0.1396498537,,0.0921965868,-0.7214724415,0.0356145894
WYNN,4.5719951655,0.4771597368,-0.1257861635,-0.9068752166,0.3925927696,7.2731275533,0.3146778327,-0.0216216216,-0.6543663955,0.747367809,2.8477313563,0.4887811853,-0.0037744443,-0.6328664022,0.2949932998,5.8310723634,0.2789416523,-0.0216216216,-0.5909716074,0.759144276,0,0,0,0,0,0,0,0,0,0,,-1.4420551899,-5.8310723634,0,,0.0633947881,0.5909716074,0,,0.011776467,-0.759144276,0
YUM,1.9704141604,0.2392819018,-0.0505319149,-0.4549756837,0.4804751488,0.2608537873,0.1634823547,-0.1019024676,-0.3352022406,0.1433802657,-0.6065602042,0.2402885848,-0.6938335003,-0.6965572218,-0.3705132347,0.8658034288,0.1768723446,-0.0505319149,-0.2952997488,0.3637010851,0.88220423,0.1405304896,-0.0178140097,-0.27532312,0.4643844756,1.5211472242,0.1568520674,-0.0178140097,-0.1743194792,0.6174048055,,0.6049496415,0.0164008012,0.6389429942,,0.0399024918,0.0199766288,0.1010036408,,0.2203208194,0.1006833905,0.1530203299
AES,0.5014084507,0.3727749173,-0.3084507042,-0.7945606695,0.1112214353,1.9380379966,0.2312728406,-0.0659971306,-0.3436049491,0.4918356497,1.2522139645,0.3834764959,-0.2838331405,-0.5622582102,0.2204652084,0.8176407323,0.2268756557,-0.1520803443,-0.4170223357,0.2712936997,-0.0114144472,0.0820405506,-0.0473239437,-0.2602279274,-0.0139795746,0.1892957746,0.1125162055,-0.0473239437,-0.2569037657,0.1553573957,,-1.1203972643,-0.8290551795,0.2007102218,,-0.0734173866,0.1567944083,0.0033241617,,-0.22054195,-0.2852732743,0.1693369703
LNT,1.2696664875,0.1963091608,-0.0248756219,-0.5164890811,0.4349282129,0.6454945634,0.133144239,-0.0296711536,-0.3158171611,0.3833755108,-0.2242410149,0.1988987889,-0.2449443007,-0.5935501437,-0.1260027403,1.3042889271,0.1172079525,-0.0204897551,-0.282141375,0.7424766009,1.0103762047,0.1086971172,0,-0.2533342381,0.6651351639,0.9847470361,0.1473240909,0,-0.439846755,0.4814141676,,0.6587943637,-0.2939127224,-0.0256291686,,0.0336757861,0.0288071369,-0.1865125169,,0.3591010901,-0.077341437,-0.1837209963
AEE,-0.1631998045,0.1928054241,-0.3792324644,-0.6056152033,-0.0915545448,-0.0713631746,0.1280255024,-0.1813471032,-0.4175479441,-0.0575938061,-0.1751251022,0.194495704,-0.3395851982,-0.6244930918,-0.0980004178,0.182852722,0.0841088857,0,-0.2047474236,0.2012614168,0.177613226,0.0791882664,0,-0.2082700284,0.2080699805,-0.0934836022,0.1350679261,-0.1448672164,-0.4709597294,-0.0722801049,,0.2542158966,-0.005239496,-0.2710968282,,0.2128005205,-0.0035226048,-0.262689701,,0.2588552229,0.0068085637,-0.2803500854
AEP,0.5825506637,0.1938350454,-0.05482844,-0.4837115625,0.242239268,0.3999580676,0.1209671371,0,-0.3246942829,0.2827436007,-0.0181375354,0.195436123,-0.1735083752,-0.4757413132,-0.0093534345,0.4622034026,0.1173205414,-0.0124059554,-0.3058698571,0.3299480661,0.1977419045,0.10632503,-0.0082348729,-0.3025602586,0.1711754117,0.3351758204,0.1457959742,-0.0082348729,-0.4200010875,0.2010771806,,0.062245335,-0.2644614981,0.1374339159,,0.0188244258,0.0033095985,-0.1174408289,,0.0472044654,-0.1587726544,0.0299017689
AWK,0.1253257839,0.1486459004,-0.1737254974,-0.2716621843,0.0798707644,-0.1422137856,0.0982049083,-0.159311756,-0.2166708889,-0.1549508959,-0.4047304103,0.1506781064,-0.4047304103,-0.4047304103,-0.3353632607,0.0075775128,0.0588571261,-0.085393394,-0.1139698504,0.0128255957,-0.0669773176,0.0385673606,-0.0669773176,-0.1139698504,-0.179059416,-0.0120141272,0.0426058296,-0.052284047,-0.1000166197,-0.0283406086,,0.1497912984,-0.0745548304,0.0549631904,,0.1027010385,0,0.0139532307,,0.1677764916,-0.1918850117,0.1507188074
CNP,1.3402565966,0.2226922164,-0.0688405797,-0.5166956934,0.398345416,1.9272145109,0.1419790074,-0.0073619632,-0.2246469197,0.798268821,1.719305963,0.222243728,-0.0053458818,-0.4269922013,0.4732117463,1.0172947573,0.1397629542,-0.0073619632,-0.3493403995,0.519927335,0.2075248686,0.1174539598,-0.1269191582,-0.286542349,0.1620082285,0.0407433135,0.157616539,-0.1261091371,-0.4936477215,0.0253774117,,-0.9099197536,-0.8097698887,-0.1667815551,,-0.1246934798,0.0627980505,-0.2071053725,,-0.278341486,-0.3579191065,-0.1366308168
CMS,1.3753112495,0.218194878,-0.1549100968,-0.5175685818,0.4139769967,0.9821762803,0.1410373188,-0.0134328358,-0.2367217426,0.5018896254,0.2488216046,0.2182663128,-0.0158669584,-0.4650514507,0.1029002526,1.3339566883,0.1423501779,0,-0.2499329577,0.6211099219,0.6184987658,0.1090068919,-0.074611399,-0.2415743265,0.452335981,0.2455569335,0.1536399539,-0.074611399,-0.5064822434,0.1444426311,,0.351780408,-0.7154579225,-0.3729418323,,-0.0132112151,0.0083586312,-0.2649079169,,0.1192202965,-0.1687739409,-0.3078933499
ED,0.5756359685,0.1444713794,-0.0454212454,-0.3086993816,0.321837387,0.4827032393,0.0970659934,-0.0180384097,-0.2316514155,0.4137005304,0.2425898402,0.1454944071,-0.0584708331,-0.3404944573,0.1508545586,0.0996895369,0.0974723812,-0.1252165757,-0.333381795,0.0979174713,0.2384326314,0.0882231003,-0.0113065327,-0.1927795334,0.2449042535,0.5294411272,0.1310307803,-0.0244241924,-0.236142477,0.3311294125,,-0.3830137024,0.1387430945,0.2910084958,,-0.1017303795,0.1406022616,-0.0433629436,,-0.3157830591,0.1469867822,0.086225159
D,0.6127969049,0.1728365473,-0.0483265306,-0.4132650462,0.2831440274,-0.0050258205,0.1107453507,-0.199421296,-0.3946342194,-0.0045466556,-0.4903162281,0.1742488734,-0.559939288,-0.5854310315,-0.3738923435,0.3302892433,0.1164134593,-0.0299655971,-0.3246787665,0.2485885711,0.4527277879,0.1110378859,-0.0299655971,-0.2319187511,0.3425395058,0.5459169497,0.1412993877,-0.0154038798,-0.2981113651,0.3149785082,,0.3353150638,0.1224385446,0.0931891618,,0.0699554529,0.0927600154,-0.066192614,,0.2531352267,0.0939509347,-0.0275609976
DTE,0.7643504624,0.1858181338,-0.1840887226,-0.5256400548,0.3142699907,0.5963476443,0.1230803185,-0.0258907675,-0.232331139,0.3888784993,0.1693122624,0.1871755276,-0.2983544523,-0.3730561177,0.084189391,0.9678462863,0.1071811464,-0.0082206311,-0.2647793303,0.6531823349,0.3997596171,0.0960408005,-0.0082206311,-0.2744388906,0.3559740063,0.2283836465,0.1361111599,-0.0082206311,-0.3980879957,0.1526292406,,0.371498642,-0.5680866692,-0.1713759706,,-0.0324481913,-0.0096595603,-0.1236491051,,0.2643038356,-0.2972083286,-0.2033447657
DUK,1.1705041787,0.1846029175,-0.093966898,-0.3889064822,0.4363114781,0.590725772,0.1232268956,-0.0141964793,-0.2966165355,0.3854176798,-0.0257008085,0.1857562248,-0.1431088978,-0.4601945883,-0.0139928524,0.9398438124,0.1235784156,-0.0141964793,-0.311238732,0.5541176488,0.4620981028,0.1135355067,-0.0648881858,-0.3109971797,0.3408819796,0.821115189,0.1462684161,-0.0648881858,-0.2755488567,0.4221868236,,0.3491180404,-0.4777457096,0.3590170862,,-0.0146221965,0.0002415523,0.035448323,,0.168699969,-0.2132356692,0.081304844
EIX,1.4328982169,0.2161833378,-0.0483870968,-0.5843264309,0.4299202592,0.6359190932,0.1351107536,-0.0483870968,-0.398229683,0.3732586244,-0.1349098489,0.217858274,-0.2329004881,-0.5668395703,-0.0660151132,2.2055477207,0.1415161133,-0.0483870968,-0.1896472502,0.8726358368,1.327915734,0.1268074448,-0.0092862732,-0.1838667098,0.6950158079,0.708213012,0.1617462504,-0.0092862732,-0.4755789354,0.3399253285,,1.5696286275,-0.8776319867,-0.619702722,,0.2085824328,0.0057805404,-0.2917122256,,0.4993772124,-0.1776200289,-0.3550904794
ETR,0.9143378911,0.1996565884,-0.0398177496,-0.4999773901,0.3358981712,0.3529394947,0.1251919646,-0.0198644954,-0.2937909784,0.2450397596,-0.3555239426,0.2016324385,-0.4369514239,-0.5500195387,-0.2130804341,1.0116187444,0.1253170597,0,-0.2240823245,0.5774513457,0.9056597361,0.1138842867,0,-0.2649526274,0.5846264052,0.8498829604,0.1497292796,0,-0.3599465759,0.4235467845,,0.6586792497,-0.1059590083,-0.0557767757,,0.0697086539,-0.0408703029,-0.0949939485,,0.3324115861,0.0071750595,-0.1610796207
ES,1.0517727506,0.1866824081,-0.0313460356,-0.4040438211,0.3989943125,0.5602813098,0.1292321922,-0.0456251646,-0.1966439883,0.3518657659,-0.0065219219,0.1878096598,-0.3279318271,-0.4339078948,-0.0034814651,0.1807273702,0.117864856,-0.0787081605,-0.4488895744,0.1420701428,0.1756483747,0.1079515,-0.1110372781,-0.3883335715,0.1510589659,0.5487595647,0.1489282084,-0.0178571429,-0.4303268177,0.3001318421,,-0.3795539396,-0.0050789955,0.37311119,,-0.2522455861,0.0605560029,-0.0419932462,,-0.2097956231,0.0089888231,0.1490728762
EXC,0.8447992231,0.2374015523,-0.04214223,-0.5501663479,0.2658991371,-0.1727624653,0.1556862513,-0.1731419321,-0.585405501,-0.1206283121,-0.7290419411,0.2407906808,-0.7401093199,-0.8127276612,-0.5081887988,1.0302249039,0.1501020817,-0.0086438975,-0.2914746937,0.4886799143,1.5840898516,0.1294665075,-0.0086438975,-0.1875120796,0.7689108984,1.860284535,0.1396439815,-0.0086438975,-0.1739526957,0.793204597,,1.2029873692,0.5538649477,0.2761946834,,0.2939308073,0.1039626141,0.0135593839,,0.6093082264,0.2802309841,0.0242936986
FE,0.3375072623,0.2199425481,-0.222747033,-0.5572289479,0.1341066873,0.6752638172,0.1424384671,-0.0235626767,-0.2812400715,0.3715966968,0.580034743,0.2217643618,-0.0139244551,-0.3306981224,0.2109805333,0.8865882527,0.1287962793,-0.0108527132,-0.2576733827,0.5086167027,0.8106637908,0.1212304486,-0.0223922902,-0.2127768596,0.5043445983,0.8905378902,0.1392309726,-0.0223922902,-0.3135993309,0.4720983157,,0.2113244355,-0.0759244619,0.0798740994,,0.0235666888,0.0448965231,-0.1008224713,,0.1370200059,-0.0042721044,-0.0322462826
NEE,1.079789333,0.2095533909,-0.0535237796,-0.478141789,0.3624035242,0.2163088197,0.1423850724,-0.0416145132,-0.41686876,0.1388282708,-0.4380736504,0.211649648,-0.5710107585,-0.6512001886,-0.2645270522,0.6318225562,0.1314056819,-0.014799609,-0.281676292,0.3817797004,0.4838455253,0.1141012246,-0.014799609,-0.281676292,0.3526371231,0.7747996974,0.146410992,-0.014799609,-0.4366232015,0.4031253107,,0.4155137365,-0.1479770309,0.2909541721,,0.135192468,0,-0.1549469095,,0.2429514296,-0.0291425773,0.0504881876
NI,0.1312319698,0.2022894177,-0.4837302307,-0.6571903952,0.0613085612,0.1977306158,0.1097129824,-0.2123263068,-0.3791119747,0.1658807474,-0.0491211007,0.2020324598,-0.3914895292,-0.4768448044,-0.0248583272,0.6569642517,0.1074831735,-0.0227641082,-0.2338767968,0.4816965721,0.2313803602,0.0930013906,-0.0031479538,-0.2367319431,0.2260524744,-0.1165059623,0.1483920118,-0.2471483363,-0.5155558647,-0.0829274942,,0.4592336359,-0.4255838915,-0.3478863225,,0.1452351779,-0.0028551463,-0.2788239216,,0.3158158247,-0.2556440977,-0.3089799686
NRG,1.3594805195,0.3325350413,-0.0420779221,-0.6765458422,0.2694425594,-0.1926064417,0.2177662333,-0.2231814509,-0.7794807778,-0.0971628815,-0.8586629996,0.3465467061,-0.8640152556,-0.9424206715,-0.5126136511,0.3291654154,0.1817821967,-0.0364431487,-0.5290201234,0.1587181418,0.5385551431,0.1190237933,-0.0364431487,-0.1980306346,0.3697411689,1.7857142857,0.1600415395,-0.0364431487,-0.2176972281,0.6738063308,,0.5217718571,0.2093897277,1.2471591426,,0.2504606544,0.3309894888,-0.0196665935,,0.2558810233,0.2110230271,0.3040651619
